MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCCVariance1,MFCCVariance2,MFCCVariance3,MFCCVariance4,MFCCVariance5,MFCCVariance6,MFCCVariance7,MFCCVariance8,MFCCVariance9,MFCCVariance10,MFCCVariance11,MFCCVariance12,MFCCVariance13,energy,duration,Acoustic1,Acoustic2,Acoustic3,Acoustic4,Acoustic5,Acoustic6,Acoustic7,Acoustic8,Acoustic9,Acoustic10,Acoustic11,Acoustic12,Acoustic13,Acoustic14,Acoustic15,Acoustic16,Acoustic17,Acoustic18,Acoustic19,Acoustic20,Acoustic21,Acoustic22,Acoustic23,Acoustic24,Acoustic25,Acoustic26,Acoustic27,Acoustic28
1.27692588,0.365591229,-1.02534554,-1.00888229,-0.96429815,-1.0812651,-1.21556092,-1.24296754,-1.47047744,-1.36056786,-1.38011935,-1.30106249,-1.25133479,-0.405437234,-0.861310519,0.319047893,-0.942508164,-0.062798244,0.58933586,-0.793785184,0.126020144,0.050889295,-0.064226965,0.767782861,0.185883838,0.148168374,2.04922048,0.092050507,-1.28293805,-1.25877613,-0.892981987,-0.947465829,-1.25732708,-1.18579103,0.218104062,0.022983455,0.148572377,0.197324169,1.2646347,0.948573498,-1.34791072,-0.725479353,-1.46609877,-0.287735888,-0.77049457,-0.160710068,-1.11788684,-1.0998827,-1.06684861,-0.401737739,-0.387903109,-0.673315388,-0.439575815,-0.57892801,-0.091619209,-0.533888914
1.32930582,0.087877111,-0.210577431,-0.571836698,-0.204710057,-0.761669748,-0.705960577,-0.740266983,-0.864552386,-0.883304932,-0.917225294,-0.75556398,-0.811824622,-2.11637562,1.20444331,1.03004514,0.466936615,-0.812943734,0.119993998,0.231853534,-0.290308841,-0.918011074,0.514503612,0.289920726,-0.713482382,-0.660471903,1.81324159,-0.370810931,-0.727468832,-0.857439108,-0.532968646,-0.583702792,-0.568469288,-0.511173401,-0.274013227,-0.432213319,-0.33007803,-0.213239375,1.97273075,2.10826183,0.406277659,-1.19423016,-0.034390684,0.363296218,-0.751524525,-0.104870889,-1.11788684,-0.448546863,-1.06684861,-0.535230905,-0.521310211,-0.713858079,0.848137969,-0.537814977,-0.991038916,-0.533888914
0.832646855,-0.155985299,-0.421848454,-0.785158854,-0.715557408,-0.346082232,-0.899862712,-1.05288914,-0.896809253,-1.11371509,-1.05837764,-0.865305721,-0.893160834,-0.923964758,0.597928872,-0.810936731,0.341454603,0.470241137,-0.50520579,-0.447224764,-1.15388995,-0.11417203,-0.273437586,-0.310591491,0.109228737,0.125496433,-0.026379097,-0.4428116,-0.469138405,-0.512844391,-0.745141325,-0.884491651,0.105869147,0.254749041,-0.319111729,-0.293975513,-0.338222989,-0.30645922,1.04378611,0.606995804,0.021566034,-1.28964429,-0.412967603,1.30863691,-0.882129179,-0.187876119,-1.11788684,0.418749898,-0.647493528,-0.391058285,-0.382566825,0.118881628,-0.439575815,1.98378436,1.71689138,-0.533888914
0.91360314,2.08527911,1.68228863,1.61289294,1.53300797,1.61211055,1.37828528,1.07297302,1.33175985,1.14829963,1.20255462,1.19027278,1.20067282,-0.175270344,2.09638157,0.787772459,1.3471551,-0.49747408,-0.284073316,-0.045540769,-1.22495916,-1.77460508,-0.454125917,-0.35073624,0.971015134,0.884181035,0.418164792,-0.535383887,-1.00181358,-0.955602437,-0.771532761,-0.934947919,-0.977007699,-0.889497778,-0.480291062,-0.565413596,-0.440050956,-0.290665282,0.331627749,-0.071913652,-0.503487409,-1.39754439,-0.920834598,0.685160847,-1.06122034,-0.179021302,-1.11788684,-0.514610707,0.61057173,-0.391058285,-0.398575677,-0.719144396,0.432313726,-0.510406289,-0.671889987,-0.533888914
0.729884651,-0.191585106,-1.00239079,-1.05192286,-1.28799353,-1.19070555,-1.40711549,-1.67159708,-1.5304764,-1.59964923,-1.61046951,-1.52424054,-1.46454302,-0.41482427,-1.13595012,-1.36213476,-0.69064671,0.134112276,-0.279524325,-1.47041294,-1.56673503,-1.78805632,0.424369384,0.8512713,-1.33435566,0.118906261,1.04965921,-0.093094068,-1.065556,-0.929756519,-0.97866048,-0.986468587,-0.98247919,-0.887043868,-0.167213787,-0.355575354,-0.032447311,0.163981208,0.822573915,0.298360418,-1.35323346,-0.896132308,-1.5251082,-0.171758717,-0.928276467,-0.180921424,-1.11788684,-0.780630396,-0.647493528,-0.396398012,-0.387903109,-0.295514909,-0.466403186,-0.524110633,-0.033592131,-0.533888914
0.526890675,-0.365301992,-1.01326144,-0.975742352,-0.848482672,-1.01546833,-0.928265915,-1.186691,-1.21489154,-1.22324733,-1.27805735,-1.11608213,-1.08172063,-0.166885964,-0.309212388,-0.690648641,-0.811811151,-1.74768969,-1.48051237,-0.351763745,-0.718298,-0.739717397,-0.986718084,-0.078835956,0.683580935,-0.576222845,0.753501191,-0.087951163,-0.711888758,-0.74463672,-0.757416397,-0.612831105,-0.417931809,-0.346298444,-0.361219168,-0.384552793,-0.236736322,-0.108892846,0.809799481,0.454025663,0.207003985,-0.89461185,-0.112938757,1.22095138,-0.929331842,-0.182430741,-1.11788684,-0.229000036,0.191216644,-0.412417192,-0.41458453,-0.229294067,-0.439575815,-0.345954158,0.072790845,-0.533888914
0.881779151,0.530641102,-0.714710996,-0.602350363,-0.106019126,-0.695476908,-0.743517246,-0.911240474,-0.901995495,-0.969067583,-0.943319655,-0.872811692,-0.877400508,-0.243896414,0.018625336,-0.096196037,0.646020521,-1.03707667,-0.630496926,-1.25859785,-0.09184967,-0.218541806,0.486352051,0.113351861,-0.1625421,0.108247208,1.99712169,0.971487241,-0.634505967,-0.724327803,-0.622141879,-0.682180314,-0.282695394,-0.19124503,0.798897127,0.740359048,1.00014665,0.98238785,2.02552421,1.87061483,0.398477741,-0.0759809,0.338237939,0.956344127,-0.772223389,-0.184716455,-1.11788684,-0.343013653,-0.647493528,-0.391058285,-0.382566825,1.55621079,-0.439575815,-0.38706719,0.043777306,-0.533888914
0.989485605,0.005229838,-0.481733861,-0.919700183,-1.18686098,-1.05165992,-1.47849193,-1.35041709,-1.41812134,-1.49051449,-1.48743585,-1.41095818,-1.32859835,-1.10237137,-1.33508911,-0.323459022,-0.601370556,-0.684723211,2.39044984,-0.888173812,-0.913196092,-1.15377855,-0.158606976,0.65711771,0.314841141,-0.128816035,2.33590171,0.374910275,-1.04241298,-0.986743786,-0.869112515,-0.928205837,-0.945289537,-0.856827705,0.242561593,0.204601361,0.331212942,0.349302241,0.772384937,0.36192874,-0.572837548,-0.482733594,-0.683721497,0.457469685,-1.01438702,-0.113590542,-1.11788684,-0.445689405,-0.647493528,-0.407077465,-0.398575677,-0.025451111,-0.439575815,-0.524110633,-0.05293449,-0.533888914
1.03319805,0.092075009,-0.22346837,-0.646013168,-0.626390637,-0.755737743,-0.984739473,-0.814762478,-0.99114395,-1.10535145,-1.05323089,-1.00133692,-0.913958305,-0.490602718,0.297328587,0.480666207,1.24535304,-1.29830911,2.48322379,-0.411230194,-0.774347296,-1.07960045,0.717785558,0.470164484,0.468640332,0.705022883,1.1727109,0.220623129,-0.724773731,-0.801085692,-0.648221378,-0.904879506,-0.476347387,-0.361546288,0.213793598,0.180683652,0.211490441,0.193482758,1.18487633,0.756122065,0.201107875,-0.60955252,-0.022200008,1.13476081,-0.802214204,-0.184159253,-1.11788684,-0.440506327,0.61057173,-0.391058285,-0.398575677,0.300214058,-0.439575815,-0.510406289,-0.043263311,-0.533888914
1.27959808,-0.128670108,-1.65823949,-0.924387931,-0.790173788,-1.05872186,-1.32064786,-1.54946377,-1.44525586,-1.43810342,-1.52524811,-1.34420281,-1.36459874,-1.34502735,-0.079118264,-0.941697308,-0.44262839,-1.71560734,-0.438770843,-1.09978254,-0.210967008,-1.26783397,-0.624213562,0.804390274,-0.305181724,0.441482404,0.265942133,-0.247381214,-0.840882537,-0.699051383,-0.806823521,-0.92602458,-0.866843053,-0.77369864,-0.307814763,-0.37961783,-0.208148055,-0.071226501,1.17172137,0.800608122,-0.340714414,-1.06720533,-0.665502817,0.031758027,-1.01969859,-0.167321931,-1.11788684,-0.15956675,0.61057173,-0.423096645,-0.430593382,-0.153938734,-0.42616213,-0.510406289,-0.05293449,-0.533888914
